시도별,합계:면적 (ha),생산량 (톤),논벼:면적 (ha),10a당 생산량 (kg),생산량 (톤),밭벼:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,727054,3763700,726654,518,3762610,400,272,1090
서울특별시,173,864,173,498,864,0,0,0
부산광역시,2123,10801,2123,509,10801,0,0,0
대구광역시,2935,15512,2935,529,15512,0,0,0
인천광역시,11331,56176,11331,496,56176,0,0,0
광주광역시,5066,24901,5066,492,24901,0,0,0
대전광역시,1132,5825,1132,514,5825,0,0,0
울산광역시,3710,17772,3710,479,17772,0,0,0
세종특별자치시,3294,17443,3294,530,17443,0,0,0
경기도,73648,366863,73645,498,366857,3,230,6
강원도,28708,143908,28708,501,143908,0,0,0
충청북도,33195,171414,33194,516,171412,1,276,2
충청남도,133978,725273,133978,541,725273,0,0,0
전라북도,113775,621838,113775,547,621838,0,0,0
전라남도,154679,742913,154359,481,742043,320,272,870
경상북도,94757,511392,94746,540,511363,11,257,29
경상남도,64481,330604,64481,513,330604,0,0,0
제주도,70,201,5,378,18,66,278,183
