지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%)
목포,2021-08-01,28.3,26.7,31.7,0.6,0.6,0.6,8.2,6,2.9,25.3,84.3
목포,2021-08-02,26.7,24.9,29.4,8.8,13.4,19.2,8.3,5.7,1.9,24.6,88.9
목포,2021-08-03,27.1,24.4,30.7,4.9,10.7,11.8,7.4,5.3,3,24.3,85.6
목포,2021-08-04,28.9,25,32.6,0,0,0,7.1,5.1,2.8,23.3,73.3
목포,2021-08-05,28.9,25.6,32.5,0,0,0,5,4.1,2.2,24,75.1
목포,2021-08-06,28.4,25.3,32.3,0,0,0,11.3,9.1,2.9,23.6,75.9
목포,2021-08-07,27.2,24.3,31.4,0,0,0,8,6.3,3.5,22.8,77.6
목포,2021-08-08,26.4,24.7,29.3,0,0,0,6.3,4.6,2.6,23,82.3
목포,2021-08-09,27.3,24.7,30.8,0,0,0,7.2,5.8,3.1,22.9,78.3
목포,2021-08-10,27.6,25.6,30.7,0,0,0,5.9,4.7,2.1,23.1,77.5
목포,2021-08-11,27.4,23.9,31.2,0,0,0,7.2,5.1,2.4,22,73.5
목포,2021-08-12,26.9,24,30.4,0,0,0,5.9,4.1,2,21.6,73.6
목포,2021-08-13,26.5,24,29,0.6,1.1,1.1,5.4,4.2,2.1,22.2,78.5
목포,2021-08-14,24.3,22.4,27.4,1.1,4.2,14.4,7.2,5.3,2,21.7,86.1
목포,2021-08-15,26,22.6,30,0,0,0,5.7,4.2,1.9,21.4,77.5
목포,2021-08-16,26.4,23.6,29.8,0,0,0,7.1,4.9,2.4,20,68.8
목포,2021-08-17,26.3,23.5,29.5,0,0,0,7.8,6,2.9,20,69.3
목포,2021-08-18,24.4,21.3,28.9,0.4,0.9,0.9,8.6,5.8,2.5,20.2,78.9
목포,2021-08-19,24.3,20.8,28.7,0,0,0,7,5.3,2.4,20.1,78.6
목포,2021-08-20,26.3,22.1,30.1,0,0,0,9.5,6.5,4,21.4,75.8
목포,2021-08-21,25.4,23.5,26.7,7.4,14.9,33.6,16.2,10.7,4,23.1,87.8
목포,2021-08-22,26.2,23.4,28.9,0,0,0,6.2,4.6,2.2,22.7,82.3
목포,2021-08-23,25.9,24.6,28.4,3.3,7.9,10.9,9,6,2.9,24,89.6
목포,2021-08-24,26.3,24.6,27.7,2.2,4.8,8.6,14.6,10.1,4.9,24.4,90
목포,2021-08-25,25.7,23.7,28.5,0.7,2.3,5.3,8.5,6.3,2.9,24.2,92
목포,2021-08-26,26.2,23.7,30.2,0,0,0,6,5.1,2,23.4,85.9
목포,2021-08-27,25.3,22.3,29.5,1.6,4.5,5.5,13.1,9.1,4.3,23.2,89.3
목포,2021-08-28,24.9,21.8,28.8,0.7,0.8,0.9,5.2,3.9,1.9,21.6,83.4
목포,2021-08-29,25.8,24,27.5,0.4,0.6,1.1,9.2,6.5,3.2,23.7,88.6
목포,2021-08-30,24.6,23.2,28.8,8.2,10.5,10.5,12.4,8.6,1.9,22.6,89.4
목포,2021-08-31,26.6,23.1,30.1,0,0,0,6.7,5,2.5,23.5,84.4
